 Endemias - Poliomielite
Casos por Ano e Região
Situação: Casos confirmados
Período:1980-1991
"Ano";"Norte";"Nordeste";"Sudeste";"Sul";"C.Oeste";"Total"
"1980";67;496;340;253;134;1290
"1981";16;75;15;6;11;123
"1982";11;42;6;6;4;69
"1983";7;22;11;2;3;45
"1984";22;80;16;7;5;130
"1985";34;239;25;11;20;329
"1986";52;469;44;10;37;612
"1987";10;148;26;7;5;196
"1988";8;62;22;5;9;106
"1989";3;15;7;8;2;35
"1990";1;5;5;-;3;14
"1991";1;3;6;1;-;11
"Total";232;1656;523;316;233;2960
 Fonte: MS/Funasa/Cenepi
