 Imunizações - Cobertura - Brasil
Coberturas VacinaisDoses Cáculos CV por Ano
Imuno: 074 Poliomielite
Período:1994-2019
"Ano";"Coberturas_Vacinais";"Doses_Cáculos_CV"
"1994";58,23;951598
"1995";77,82;2341912
"1996";80,85;2522390
"1997";89,27;2827700
"1998";95,30;3046858
"1999";99,08;3221283
"2000";101,44;3424919
"2001";102,83;3327803
"2002";100,01;3212628
"2003";100,48;3209756
"2004";104,30;3152042
"2005";105,12;3188367
"2006";105,25;3098951
"2007";105,43;3047976
"2008";100,18;2939834
"2009";103,66;2985774
"2010";99,35;2861066
"2011";101,33;2918479
"2012";96,55;2780576
"2013";100,71;2934278
"2014";96,76;2810642
"2015";98,29;2852556
"2016";84,43;2513077
"2017";84,27;2508194
"2018";88,17;2516533
"2019";51,54;1506818
"Total";94,18;72702010
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

